		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
cit	3	36	2528.000000	7.835184	1	4.000000	1.386294	24	2409.000000	7.786967	8	36.000000	3.583519	3	79.000000	4.369448	465	6395.000000	8.763272	72	2811.000000	7.941296	
kra	3	158	1095.000000	6.998510	0	0.000000	0.000000	16	126.000000	4.836282	133	891.000000	6.792344	9	78.000000	4.356709	212	1998.000000	7.599902	35	600.000000	6.396930	
pres	4	180	1714.000000	7.446585	0	0.000000	0.000000	101	840.000000	6.733402	79	874.000000	6.773080	0	0.000000	0.000000	563	13145.000000	9.483797	322	8588.000000	9.058121	
dif	3	121	2883.000000	7.966587	0	0.000000	0.000000	112	2720.000000	7.908387	9	163.000000	5.093750	0	0.000000	0.000000	291	4922.000000	8.501470	181	4155.000000	8.332068	
doG	3	7	13.000000	2.564949	0	0.000000	0.000000	6	12.000000	2.484907	1	1.000000	0.000000	0	0.000000	0.000000	19	41.000000	3.713572	16	38.000000	3.637586	
pinG	4	4	38.000000	3.637586	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	4	38.000000	3.637586	20	99.000000	4.595120	4	12.000000	2.484907	
braj	4	2	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	2	3.000000	1.098612	0	0.000000	0.000000	5	301.000000	5.707110	0	0.000000	0.000000	
mer	3	172	2042.000000	7.621685	0	0.000000	0.000000	59	1095.000000	6.998510	108	938.000000	6.843750	5	9.000000	2.197225	598	7759.000000	8.956609	159	1717.000000	7.448334	
ew	2	72	1787.000000	7.488294	0	0.000000	0.000000	59	1762.000000	7.474205	13	25.000000	3.218876	0	0.000000	0.000000	131	1983.000000	7.592366	59	1762.000000	7.474205	
pE	2	148	1770.000000	7.478735	1	7.000000	1.945910	35	206.000000	5.327876	110	1554.000000	7.348588	2	3.000000	1.098612	749	15465.000000	9.646335	208	4825.000000	8.481566	
Sis	3	42	286.000000	5.655992	0	0.000000	0.000000	9	29.000000	3.367296	33	257.000000	5.549076	0	0.000000	0.000000	42	286.000000	5.655992	9	29.000000	3.367296	
feb	3	9	311.000000	5.739793	0	0.000000	0.000000	8	310.000000	5.736572	1	1.000000	0.000000	0	0.000000	0.000000	11	314.000000	5.749393	10	313.000000	5.746203	
fem	3	28	562.000000	6.331502	0	0.000000	0.000000	23	557.000000	6.322565	5	5.000000	1.609438	0	0.000000	0.000000	35	577.000000	6.357842	26	563.000000	6.333280	
fwO	3	56	2499.000000	7.823646	0	0.000000	0.000000	45	2464.000000	7.809541	11	35.000000	3.555348	0	0.000000	0.000000	65	2534.000000	7.837554	53	2498.000000	7.823246	
fur	3	45	357.000000	5.877736	2	2.000000	0.693147	38	339.000000	5.826000	4	14.000000	2.639057	1	2.000000	0.693147	98	1096.000000	6.999422	73	1015.000000	6.922644	
Graf	4	22	70.000000	4.248495	1	15.000000	2.708050	20	54.000000	3.988984	1	1.000000	0.000000	0	0.000000	0.000000	287	1603.000000	7.379632	37	141.000000	4.948760	
Gran	4	99	5728.000000	8.653122	7	1143.000000	7.041412	54	4415.000000	8.392763	38	170.000000	5.135798	0	0.000000	0.000000	186	6057.000000	8.708970	99	5792.000000	8.664233	
flaz	4	13	127.000000	4.844187	0	0.000000	0.000000	0	0.000000	0.000000	13	127.000000	4.844187	0	0.000000	0.000000	13	127.000000	4.844187	0	0.000000	0.000000	
Gis	3	13	206.000000	5.327876	0	0.000000	0.000000	0	0.000000	0.000000	13	206.000000	5.327876	0	0.000000	0.000000	17	224.000000	5.411646	4	18.000000	2.890372	
swo	3	54	384.000000	5.950643	0	0.000000	0.000000	35	319.000000	5.765191	19	65.000000	4.174387	0	0.000000	0.000000	54	384.000000	5.950643	35	319.000000	5.765191	
tim	3	29	107.000000	4.672829	0	0.000000	0.000000	18	79.000000	4.369448	10	27.000000	3.295837	1	1.000000	0.000000	466	8970.000000	9.101641	45	474.000000	6.161207	
dEr	3	43	542.000000	6.295266	0	0.000000	0.000000	10	67.000000	4.204693	33	475.000000	6.163315	0	0.000000	0.000000	61	950.000000	6.856462	14	85.000000	4.442651	
tin	3	216	960.000000	6.866933	0	0.000000	0.000000	41	137.000000	4.919981	158	741.000000	6.608001	17	82.000000	4.406719	1207	9984.000000	9.208739	54	198.000000	5.288267	
trja	4	59	930.000000	6.835185	0	0.000000	0.000000	0	0.000000	0.000000	44	491.000000	6.196444	15	439.000000	6.084499	69	1007.000000	6.914731	4	9.000000	2.197225	
fjam	4	53	301.000000	5.707110	0	0.000000	0.000000	27	236.000000	5.463832	26	65.000000	4.174387	0	0.000000	0.000000	58	310.000000	5.736572	27	236.000000	5.463832	
flwen	5	18	61.000000	4.110874	0	0.000000	0.000000	0	0.000000	0.000000	18	61.000000	4.110874	0	0.000000	0.000000	18	61.000000	4.110874	0	0.000000	0.000000	
nuc	3	20	58.000000	4.060443	0	0.000000	0.000000	3	9.000000	2.197225	17	49.000000	3.891820	0	0.000000	0.000000	21	59.000000	4.077537	3	9.000000	2.197225	
vek	3	31	177.000000	5.176150	0	0.000000	0.000000	15	96.000000	4.564348	16	81.000000	4.394449	0	0.000000	0.000000	33	179.000000	5.187386	15	96.000000	4.564348	
tjO	3	8	27.000000	3.295837	0	0.000000	0.000000	0	0.000000	0.000000	8	27.000000	3.295837	0	0.000000	0.000000	10	29.000000	3.367296	0	0.000000	0.000000	
os	2	294	2825.000000	7.946264	0	0.000000	0.000000	283	2732.000000	7.912789	9	14.000000	2.639057	2	79.000000	4.369448	5027	51906.000000	10.857190	314	2871.000000	7.962416	
vu	2	75	4869.000000	8.490644	5	24.000000	3.178054	3	5.000000	1.609438	66	4767.000000	8.469472	1	73.000000	4.290459	131	5291.000000	8.573763	27	142.000000	4.955827	
pat	3	83	690.000000	6.536692	0	0.000000	0.000000	53	461.000000	6.133398	30	229.000000	5.433722	0	0.000000	0.000000	677	4592.000000	8.432071	208	1778.000000	7.483244	
per	3	998	58831.000000	10.982424	10	42143.000000	10.648824	575	14685.000000	9.594582	395	1794.000000	7.492203	18	209.000000	5.342334	1747	71872.000000	11.182642	712	61311.000000	11.023715	
tos	3	92	405.000000	6.003887	0	0.000000	0.000000	42	248.000000	5.513429	46	134.000000	4.897840	4	23.000000	3.135494	423	1733.000000	7.457609	50	261.000000	5.564520	
pjog	4	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	
pOl	3	17	101.000000	4.615121	1	8.000000	2.079442	11	53.000000	3.970292	4	39.000000	3.663562	1	1.000000	0.000000	53	442.000000	6.091310	27	304.000000	5.717028	
pro	3	1576	22560.000000	10.023934	0	0.000000	0.000000	1230	20408.000000	9.923682	334	2021.000000	7.611348	12	131.000000	4.875197	1841	25585.000000	10.149762	1378	22413.000000	10.017396	
jEt	3	10	108.000000	4.682131	0	0.000000	0.000000	0	0.000000	0.000000	10	108.000000	4.682131	0	0.000000	0.000000	122	2598.000000	7.862497	0	0.000000	0.000000	
pub	3	90	3738.000000	8.226306	0	0.000000	0.000000	63	2971.000000	7.996654	27	767.000000	6.642487	0	0.000000	0.000000	99	3774.000000	8.235891	71	3006.000000	8.008366	
bli	3	161	4401.000000	8.389587	0	0.000000	0.000000	2	4.000000	1.386294	158	4348.000000	8.377471	1	49.000000	3.891820	175	4519.000000	8.416046	14	119.000000	4.779123	
rab	3	57	356.000000	5.874931	0	0.000000	0.000000	33	240.000000	5.480639	24	116.000000	4.753590	0	0.000000	0.000000	288	1887.000000	7.542744	43	326.000000	5.786897	
rak	3	225	3233.000000	8.081166	0	0.000000	0.000000	195	3048.000000	8.022241	25	95.000000	4.553877	5	90.000000	4.499810	433	4497.000000	8.411166	198	3055.000000	8.024535	
kEt	3	2	12.000000	2.484907	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	12.000000	2.484907	6	23.000000	3.135494	0	0.000000	0.000000	
djaz	4	7	110.000000	4.700480	0	0.000000	0.000000	0	0.000000	0.000000	7	110.000000	4.700480	0	0.000000	0.000000	7	110.000000	4.700480	0	0.000000	0.000000	
zis	3	48	285.000000	5.652489	0	0.000000	0.000000	0	0.000000	0.000000	48	285.000000	5.652489	0	0.000000	0.000000	49	286.000000	5.655992	1	1.000000	0.000000	
rew	3	7	15.000000	2.708050	0	0.000000	0.000000	5	13.000000	2.564949	2	2.000000	0.693147	0	0.000000	0.000000	8	16.000000	2.772589	5	13.000000	2.564949	
flEs	4	17	104.000000	4.644391	0	0.000000	0.000000	0	0.000000	0.000000	17	104.000000	4.644391	0	0.000000	0.000000	17	104.000000	4.644391	0	0.000000	0.000000	
rOk	3	32	318.000000	5.762051	0	0.000000	0.000000	11	158.000000	5.062595	19	157.000000	5.056246	2	3.000000	1.098612	74	449.000000	6.107023	19	207.000000	5.332719	
rol	3	7	26.000000	3.258097	0	0.000000	0.000000	3	5.000000	1.609438	3	13.000000	2.564949	1	8.000000	2.079442	248	1231.000000	7.115582	5	9.000000	2.197225	
Sip	3	11	32.000000	3.465736	0	0.000000	0.000000	9	29.000000	3.367296	2	3.000000	1.098612	0	0.000000	0.000000	42	203.000000	5.313206	13	36.000000	3.583519	
sfrat	5	15	40.000000	3.688879	0	0.000000	0.000000	14	39.000000	3.663562	1	1.000000	0.000000	0	0.000000	0.000000	16	42.000000	3.737670	15	41.000000	3.713572	
sjE	3	63	3138.000000	8.051341	0	0.000000	0.000000	18	409.000000	6.013715	44	2728.000000	7.911324	1	1.000000	0.000000	68	3155.000000	8.056744	22	424.000000	6.049733	
smOG	4	2	38.000000	3.637586	1	30.000000	3.401197	0	0.000000	0.000000	0	0.000000	0.000000	1	8.000000	2.079442	2	38.000000	3.637586	1	30.000000	3.401197	
som	3	100	1134.000000	7.033506	0	0.000000	0.000000	89	444.000000	6.095825	11	690.000000	6.536692	0	0.000000	0.000000	169	1504.000000	7.315884	119	643.000000	6.466145	
mOs	3	56	556.000000	6.320768	0	0.000000	0.000000	16	316.000000	5.755742	40	240.000000	5.480639	0	0.000000	0.000000	64	597.000000	6.391917	17	321.000000	5.771441	
spaN	4	22	468.000000	6.148468	0	0.000000	0.000000	21	467.000000	6.146329	1	1.000000	0.000000	0	0.000000	0.000000	23	469.000000	6.150603	21	467.000000	6.146329	
NwO	3	6	10.000000	2.302585	0	0.000000	0.000000	0	0.000000	0.000000	6	10.000000	2.302585	0	0.000000	0.000000	6	10.000000	2.302585	0	0.000000	0.000000	
spas	4	21	65.000000	4.174387	0	0.000000	0.000000	19	63.000000	4.143135	2	2.000000	0.693147	0	0.000000	0.000000	31	88.000000	4.477337	25	80.000000	4.382027	
spin	4	53	604.000000	6.403574	0	0.000000	0.000000	52	601.000000	6.398595	0	0.000000	0.000000	1	3.000000	1.098612	134	1025.000000	6.932448	80	742.000000	6.609349	
spOrt	5	8	390.000000	5.966147	3	370.000000	5.913503	0	0.000000	0.000000	0	0.000000	0.000000	5	20.000000	2.995732	28	636.000000	6.455199	9	380.000000	5.940171	
spor	4	63	639.000000	6.459904	0	0.000000	0.000000	37	491.000000	6.196444	26	148.000000	4.997212	0	0.000000	0.000000	133	921.000000	6.825460	43	501.000000	6.216606	
sta	3	271	26644.000000	10.190319	5	1644.000000	7.404888	229	24803.000000	10.118720	33	186.000000	5.225747	4	11.000000	2.397895	2656	58509.000000	10.976936	502	29603.000000	10.295631	
stan	4	96	1684.000000	7.428927	2	5.000000	1.609438	88	1644.000000	7.404888	6	35.000000	3.555348	0	0.000000	0.000000	369	5365.000000	8.587652	100	1691.000000	7.433075	
stO	3	32	2645.000000	7.880426	3	258.000000	5.552960	26	2384.000000	7.776535	3	3.000000	1.098612	0	0.000000	0.000000	159	3545.000000	8.173293	55	2749.000000	7.918992	
strEs	5	4	95.000000	4.553877	2	83.000000	4.418841	1	2.000000	0.693147	0	0.000000	0.000000	1	10.000000	2.302585	4	95.000000	4.553877	3	85.000000	4.442651	
stroz	5	18	49.000000	3.891820	0	0.000000	0.000000	16	47.000000	3.850148	2	2.000000	0.693147	0	0.000000	0.000000	18	49.000000	3.891820	16	47.000000	3.850148	
stu	3	159	2449.000000	7.803435	0	0.000000	0.000000	157	2446.000000	7.802209	2	3.000000	1.098612	0	0.000000	0.000000	307	3309.000000	8.104401	181	2527.000000	7.834788	
traf	4	29	435.000000	6.075346	0	0.000000	0.000000	14	403.000000	5.998937	15	32.000000	3.465736	0	0.000000	0.000000	72	527.000000	6.267201	47	472.000000	6.156979	
trast	5	2	16.000000	2.772589	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	16.000000	2.772589	42	284.000000	5.648974	6	22.000000	3.091042	
tut	3	79	14864.000000	9.606697	1	2.000000	0.693147	60	12952.000000	9.469005	18	1910.000000	7.554859	0	0.000000	0.000000	250	18315.000000	9.815476	95	13241.000000	9.491073	
u	1	702	47172.000000	10.761556	0	0.000000	0.000000	645	46244.000000	10.741687	48	915.000000	6.818924	9	13.000000	2.564949	17880	381942.000000	12.853024	1125	107030.000000	11.580864	
sez	3	23	228.000000	5.429346	0	0.000000	0.000000	5	188.000000	5.236442	18	40.000000	3.688879	0	0.000000	0.000000	23	228.000000	5.429346	5	188.000000	5.236442	
Zin	3	16	77.000000	4.343805	0	0.000000	0.000000	10	43.000000	3.761200	4	25.000000	3.218876	2	9.000000	2.197225	59	419.000000	6.037871	12	46.000000	3.828641	
toN	3	8	64.000000	4.158883	0	0.000000	0.000000	5	44.000000	3.784190	3	20.000000	2.995732	0	0.000000	0.000000	8	64.000000	4.158883	5	44.000000	3.784190	
njaz	4	3	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	3	4.000000	1.386294	0	0.000000	0.000000	3	4.000000	1.386294	0	0.000000	0.000000	
njet	4	14	54.000000	3.988984	0	0.000000	0.000000	0	0.000000	0.000000	14	54.000000	3.988984	0	0.000000	0.000000	14	54.000000	3.988984	0	0.000000	0.000000	
nin	3	48	316.000000	5.755742	0	0.000000	0.000000	14	34.000000	3.526361	22	230.000000	5.438079	12	52.000000	3.951244	224	1119.000000	7.020191	25	144.000000	4.969813	
njO	3	17	34.000000	3.526361	0	0.000000	0.000000	0	0.000000	0.000000	16	33.000000	3.496508	1	1.000000	0.000000	18	35.000000	3.555348	0	0.000000	0.000000	
trim	4	3	3.000000	1.098612	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	38	1061.000000	6.966967	8	51.000000	3.931826	
piz	3	53	264.000000	5.575949	0	0.000000	0.000000	34	215.000000	5.370638	19	49.000000	3.891820	0	0.000000	0.000000	55	267.000000	5.587249	34	215.000000	5.370638	
tEm	3	42	5471.000000	8.607217	0	0.000000	0.000000	18	4468.000000	8.404696	23	1002.000000	6.909753	1	1.000000	0.000000	88	7295.000000	8.894944	30	5063.000000	8.529714	
Or	2	49	429.000000	6.061457	0	0.000000	0.000000	44	400.000000	5.991465	5	29.000000	3.367296	0	0.000000	0.000000	1687	31416.000000	10.355073	60	856.000000	6.752270	
Os	2	60	903.000000	6.805723	1	2.000000	0.693147	52	846.000000	6.740519	7	55.000000	4.007333	0	0.000000	0.000000	806	24788.000000	10.118115	57	879.000000	6.778785	
rjO	3	22	65.000000	4.174387	0	0.000000	0.000000	0	0.000000	0.000000	21	61.000000	4.110874	1	4.000000	1.386294	49	152.000000	5.023881	1	2.000000	0.693147	
pEr	3	230	5104.000000	8.537780	0	0.000000	0.000000	65	1779.000000	7.483807	165	3325.000000	8.109225	0	0.000000	0.000000	262	5578.000000	8.626586	69	1799.000000	7.494986	
pnE	3	2	14.000000	2.639057	0	0.000000	0.000000	0	0.000000	0.000000	2	14.000000	2.639057	0	0.000000	0.000000	2	14.000000	2.639057	0	0.000000	0.000000	
dit	3	32	298.000000	5.697093	0	0.000000	0.000000	11	195.000000	5.273000	17	72.000000	4.276666	4	31.000000	3.433987	579	5367.000000	8.588024	25	478.000000	6.169611	
ljOn	4	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	1	2.000000	0.693147	0	0.000000	0.000000	
pon	3	180	2560.000000	7.847763	0	0.000000	0.000000	58	449.000000	6.107023	122	2111.000000	7.654917	0	0.000000	0.000000	462	5143.000000	8.545392	80	600.000000	6.396930	
ples	4	8	275.000000	5.616771	0	0.000000	0.000000	0	0.000000	0.000000	8	275.000000	5.616771	0	0.000000	0.000000	8	275.000000	5.616771	0	0.000000	0.000000	
plEt	4	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	21	335.000000	5.814131	1	1.000000	0.000000	
ap	2	729	8001.000000	8.987322	0	0.000000	0.000000	703	7954.000000	8.981430	26	47.000000	3.850148	0	0.000000	0.000000	2673	30980.000000	10.341097	864	10873.000000	9.294038	
pal	3	172	1349.000000	7.207119	0	0.000000	0.000000	120	1077.000000	6.981935	51	267.000000	5.587249	1	5.000000	1.609438	431	4630.000000	8.440312	273	3066.000000	8.028129	
lok	3	4	5.000000	1.609438	0	0.000000	0.000000	2	3.000000	1.098612	2	2.000000	0.693147	0	0.000000	0.000000	175	1748.000000	7.466228	49	855.000000	6.751101	
lot	3	50	265.000000	5.579730	0	0.000000	0.000000	32	191.000000	5.252273	18	74.000000	4.304065	0	0.000000	0.000000	78	346.000000	5.846439	34	194.000000	5.267858	
rek	3	50	591.000000	6.381816	0	0.000000	0.000000	2	7.000000	1.945910	48	584.000000	6.369901	0	0.000000	0.000000	364	2524.000000	7.833600	136	923.000000	6.827629	
kjar	4	23	34.000000	3.526361	1	1.000000	0.000000	0	0.000000	0.000000	22	33.000000	3.496508	0	0.000000	0.000000	188	2653.000000	7.883446	60	1240.000000	7.122867	
kjEt	4	2	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	2	4.000000	1.386294	0	0.000000	0.000000	8	25.000000	3.218876	1	6.000000	1.791759	
ren	3	133	848.000000	6.742881	0	0.000000	0.000000	28	239.000000	5.476464	102	567.000000	6.340359	3	42.000000	3.737670	482	3740.000000	8.226841	54	457.000000	6.124683	
riL	3	22	100.000000	4.605170	0	0.000000	0.000000	0	0.000000	0.000000	22	100.000000	4.605170	0	0.000000	0.000000	56	197.000000	5.283204	0	0.000000	0.000000	
riz	3	97	787.000000	6.668228	1	6.000000	1.791759	19	82.000000	4.406719	77	699.000000	6.549651	0	0.000000	0.000000	196	1420.000000	7.258412	20	88.000000	4.477337	
pEl	3	63	1021.000000	6.928538	0	0.000000	0.000000	13	483.000000	6.180017	48	535.000000	6.282267	2	3.000000	1.098612	69	1047.000000	6.953684	14	484.000000	6.182085	
pel	3	134	1088.000000	6.992096	3	10.000000	2.302585	44	314.000000	5.749393	84	748.000000	6.617403	3	16.000000	2.772589	204	1335.000000	7.196687	86	484.000000	6.182085	
pEn	3	124	2113.000000	7.655864	0	0.000000	0.000000	46	1214.000000	7.101676	77	897.000000	6.799056	1	2.000000	0.693147	142	2292.000000	7.737180	49	1235.000000	7.118826	
tir	3	119	530.000000	6.272877	1	39.000000	3.663562	7	28.000000	3.332205	107	438.000000	6.082219	4	25.000000	3.218876	500	3995.000000	8.292799	114	979.000000	6.886532	
pes	3	181	836.000000	6.728629	0	0.000000	0.000000	88	443.000000	6.093570	92	392.000000	5.971262	1	1.000000	0.000000	312	3886.000000	8.265136	129	1351.000000	7.208600	
pjat	4	41	379.000000	5.937536	0	0.000000	0.000000	17	344.000000	5.840642	24	35.000000	3.555348	0	0.000000	0.000000	104	646.000000	6.470800	17	344.000000	5.840642	
pic	3	55	145.000000	4.976734	0	0.000000	0.000000	24	90.000000	4.499810	31	55.000000	4.007333	0	0.000000	0.000000	94	326.000000	5.786897	26	106.000000	4.663439	
pin	3	140	774.000000	6.651572	3	105.000000	4.653960	39	113.000000	4.727388	90	543.000000	6.297109	8	13.000000	2.564949	424	2772.000000	7.927324	77	451.000000	6.111467	
pjOp	4	3	4.000000	1.386294	0	0.000000	0.000000	2	3.000000	1.098612	1	1.000000	0.000000	0	0.000000	0.000000	3	4.000000	1.386294	2	3.000000	1.098612	
pjop	4	2	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	0	0.000000	0.000000	5	16.000000	2.772589	0	0.000000	0.000000	
plaw	4	36	269.000000	5.594711	0	0.000000	0.000000	13	45.000000	3.806662	23	224.000000	5.411646	0	0.000000	0.000000	36	269.000000	5.594711	13	45.000000	3.806662	
pog	3	50	274.000000	5.613128	0	0.000000	0.000000	11	43.000000	3.761200	39	231.000000	5.442418	0	0.000000	0.000000	58	307.000000	5.726848	11	43.000000	3.761200	
pOg	3	18	231.000000	5.442418	0	0.000000	0.000000	11	61.000000	4.110874	7	170.000000	5.135798	0	0.000000	0.000000	18	231.000000	5.442418	11	61.000000	4.110874	
gam	3	18	89.000000	4.488636	0	0.000000	0.000000	15	84.000000	4.430817	3	5.000000	1.609438	0	0.000000	0.000000	87	626.000000	6.439350	21	103.000000	4.634729	
prEn	4	111	1879.000000	7.538495	0	0.000000	0.000000	49	1220.000000	7.106606	62	659.000000	6.490724	0	0.000000	0.000000	113	1882.000000	7.540090	49	1220.000000	7.106606	
pren	4	131	1300.000000	7.170120	0	0.000000	0.000000	44	340.000000	5.828946	87	960.000000	6.866933	0	0.000000	0.000000	156	1408.000000	7.249926	68	447.000000	6.102559	
pre	3	1436	26135.000000	10.171031	1	2.000000	0.693147	1140	16563.000000	9.714927	279	4609.000000	8.435766	16	4961.000000	8.509363	1905	30055.000000	10.310784	1325	18183.000000	9.808242	
prEs	4	118	2018.000000	7.609862	0	0.000000	0.000000	36	1427.000000	7.263330	82	591.000000	6.381816	0	0.000000	0.000000	122	2067.000000	7.633854	39	1474.000000	7.295735	
prEz	4	15	721.000000	6.580639	0	0.000000	0.000000	4	625.000000	6.437752	11	96.000000	4.564348	0	0.000000	0.000000	16	723.000000	6.583409	4	625.000000	6.437752	
prez	4	72	627.000000	6.440947	0	0.000000	0.000000	15	343.000000	5.837730	57	284.000000	5.648974	0	0.000000	0.000000	75	646.000000	6.470800	15	343.000000	5.837730	
prOc	4	2	72.000000	4.276666	0	0.000000	0.000000	0	0.000000	0.000000	2	72.000000	4.276666	0	0.000000	0.000000	4	76.000000	4.330733	2	4.000000	1.386294	
prO	3	116	5720.000000	8.651724	10	115.000000	4.744932	73	5426.000000	8.598957	31	165.000000	5.105945	2	14.000000	2.639057	147	6867.000000	8.834483	106	6607.000000	8.795885	
pron	4	32	946.000000	6.852243	0	0.000000	0.000000	14	842.000000	6.735780	18	104.000000	4.644391	0	0.000000	0.000000	101	1383.000000	7.232010	64	1153.000000	7.050123	
prja	4	39	748.000000	6.617403	0	0.000000	0.000000	0	0.000000	0.000000	32	107.000000	4.672829	7	641.000000	6.463029	46	769.000000	6.645091	0	0.000000	0.000000	
prjan	5	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	4	10.000000	2.302585	0	0.000000	0.000000	
prjar	5	3	7.000000	1.945910	0	0.000000	0.000000	0	0.000000	0.000000	3	7.000000	1.945910	0	0.000000	0.000000	5	9.000000	2.197225	0	0.000000	0.000000	
prjaz	5	3	13.000000	2.564949	0	0.000000	0.000000	0	0.000000	0.000000	3	13.000000	2.564949	0	0.000000	0.000000	3	13.000000	2.564949	0	0.000000	0.000000	
prje	4	18	770.000000	6.646391	0	0.000000	0.000000	0	0.000000	0.000000	14	525.000000	6.263398	4	245.000000	5.501258	18	770.000000	6.646391	0	0.000000	0.000000	
pros	4	70	503.000000	6.220590	0	0.000000	0.000000	58	442.000000	6.091310	12	61.000000	4.110874	0	0.000000	0.000000	105	876.000000	6.775366	93	815.000000	6.703188	
pra	3	188	2630.000000	7.874739	3	46.000000	3.828641	75	1285.000000	7.158514	75	500.000000	6.214608	35	799.000000	6.683361	351	5180.000000	8.552560	112	1649.000000	7.407924	
prjo	4	9	3065.000000	8.027803	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	8	3064.000000	8.027477	10	3067.000000	8.028455	0	0.000000	0.000000	
pis	3	133	1101.000000	7.003974	0	0.000000	0.000000	35	616.000000	6.423247	93	474.000000	6.161207	5	11.000000	2.397895	169	1549.000000	7.345365	56	735.000000	6.599870	
prir	4	38	105.000000	4.653960	0	0.000000	0.000000	0	0.000000	0.000000	37	101.000000	4.615121	1	4.000000	1.386294	70	736.000000	6.601230	0	0.000000	0.000000	
pris	4	29	84.000000	4.430817	0	0.000000	0.000000	8	14.000000	2.639057	21	70.000000	4.248495	0	0.000000	0.000000	29	84.000000	4.430817	8	14.000000	2.639057	
pEt	3	57	2804.000000	7.938802	0	0.000000	0.000000	9	139.000000	4.934474	48	2665.000000	7.887959	0	0.000000	0.000000	100	3354.000000	8.117909	19	205.000000	5.323010	
puz	3	21	53.000000	3.970292	0	0.000000	0.000000	14	45.000000	3.806662	7	8.000000	2.079442	0	0.000000	0.000000	21	53.000000	3.970292	14	45.000000	3.806662	
bes	3	38	110.000000	4.700480	0	0.000000	0.000000	21	75.000000	4.317488	15	29.000000	3.367296	2	6.000000	1.791759	46	136.000000	4.912655	23	83.000000	4.418841	
GOs	3	6	9.000000	2.197225	0	0.000000	0.000000	3	4.000000	1.386294	0	0.000000	0.000000	3	5.000000	1.609438	7	11.000000	2.397895	3	4.000000	1.386294	
Goz	3	32	224.000000	5.411646	0	0.000000	0.000000	4	11.000000	2.397895	28	213.000000	5.361292	0	0.000000	0.000000	39	238.000000	5.472271	4	11.000000	2.397895	
ral	3	121	1198.000000	7.088409	0	0.000000	0.000000	35	142.000000	4.955827	74	998.000000	6.905753	12	58.000000	4.060443	620	6958.000000	8.847647	35	142.000000	4.955827	
rap	3	90	2398.000000	7.782390	0	0.000000	0.000000	84	2391.000000	7.779467	4	5.000000	1.609438	2	2.000000	0.693147	519	4683.000000	8.451694	159	3181.000000	8.064951	
trag	4	21	67.000000	4.204693	0	0.000000	0.000000	0	0.000000	0.000000	21	67.000000	4.204693	0	0.000000	0.000000	42	602.000000	6.400257	17	384.000000	5.950643	
bos	3	36	144.000000	4.969813	0	0.000000	0.000000	23	116.000000	4.753590	12	27.000000	3.295837	1	1.000000	0.000000	56	219.000000	5.389072	27	127.000000	4.844187	
djeg	4	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	
ket	3	159	999.000000	6.906755	0	0.000000	0.000000	0	0.000000	0.000000	153	889.000000	6.790097	6	110.000000	4.700480	167	1015.000000	6.922644	5	13.000000	2.564949	
kin	3	30	98.000000	4.584967	0	0.000000	0.000000	7	12.000000	2.484907	12	31.000000	3.433987	11	55.000000	4.007333	248	1679.000000	7.425954	29	99.000000	4.595120	
tet	3	62	634.000000	6.452049	0	0.000000	0.000000	12	175.000000	5.164786	50	459.000000	6.129050	0	0.000000	0.000000	133	944.000000	6.850126	16	182.000000	5.204007	
ciN	3	15	49.000000	3.891820	0	0.000000	0.000000	6	19.000000	2.944439	9	30.000000	3.401197	0	0.000000	0.000000	15	49.000000	3.891820	6	19.000000	2.944439	
ljar	4	43	1364.000000	7.218177	0	0.000000	0.000000	0	0.000000	0.000000	42	1363.000000	7.217443	1	1.000000	0.000000	99	1976.000000	7.588830	0	0.000000	0.000000	
