	Total			Word Onset			Word Medial			Geminate							
Onset Phones	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	Number of phones	1st Phone	2nd Phone	3rd Phone	4th Phone
	37031	1143218	13.949358	28652	514140	13.150251	8379	629078	13.352011	0	0	0	0				
b	10104	98819	11.501045	3452	35365	10.473478	6652	63454	11.058071	1051	15215	9.630037	1	b			
dj	1159	13978	9.54524	184	2972	7.99699	975	11006	9.306196	2	11	2.397895	2	d	j		
d	23147	555753	13.228079	6055	178284	12.091133	17092	377469	12.841244	436	4004	8.295049	1	d			
n	32472	539560	13.198509	1839	52371	10.866108	30633	487189	13.096407	2218	42500	10.657259	1	n			
s	25439	480631	13.082855	6753	173462	12.063714	18686	307169	12.635153	5486	82189	11.316777	1	s			
t	65598	861590	13.666535	3346	63955	11.065935	62252	797635	13.589406	7905	121952	11.711383	1	t			
tw	221	2849	7.954723	14	233	5.451038	207	2616	7.869402	87	735	6.59987	2	t	w		
kj	1457	18934	9.848715	377	9011	9.106201	1080	9923	9.202611	609	4656	8.445912	2	k	j		
c	11414	149087	11.912285	1724	27998	10.239888	9690	121089	11.704281	1967	16129	9.688374	1	c			
L	2148	44850	10.711079	9	149	5.003946	2139	44701	10.707751	1897	31412	10.354945	1	L			
r	36814	465838	13.051593	8982	98537	11.498187	27832	367301	12.813937	2554	25458	10.144785	1	r			
N	1683	24553	10.108589	9	56	4.025352	1674	24497	10.106306	1670	24491	10.106061	1	N			
l	28111	491934	13.1061	3036	55350	10.921432	25075	436584	12.986736	5158	132383	11.793455	1	l			
j	840	9736	9.183586	127	3108	8.041735	713	6628	8.799058	0	0	0	1	j			
v	17369	266198	12.491996	3407	73672	11.207378	13962	192526	12.167986	698	7117	8.870242	1	v			
m	23736	363852	12.804502	6789	121269	11.705766	16947	242583	12.399099	1663	15890	9.673445	1	m			
k	27241	460807	13.040735	10245	165761	12.018302	16996	295046	12.594887	2827	30134	10.313409	1	k			
sj	1053	18476	9.824228	38	2484	7.817625	1015	15992	9.679844	353	6204	8.73295	2	s	j		
z	3628	50332	10.826396	133	844	6.738152	3495	49488	10.809485	1917	18714	9.837027	1	z			
